artist,sentiment_labmt,n_tokens_used,page_file
The_Hollies,6.118621200889548,1349,The_Hollies.txt
The_J._Geils_Band,6.328010704727922,1121,The_J._Geils_Band.txt
The_Jam,6.262684426229509,1952,The_Jam.txt
The_Jesus_and_Mary_Chain,6.209429846306397,2017,The_Jesus_and_Mary_Chain.txt
The_Killers,6.035148023047884,5033,The_Killers.txt
The_Kinks,6.259416411824668,3924,The_Kinks.txt
The_Lumineers,6.317567328918322,2265,The_Lumineers.txt
The_Marshall_Tucker_Band,6.341134545454547,1375,The_Marshall_Tucker_Band.txt
The_Monkees,6.2611029810298096,3690,The_Monkees.txt
The_Moody_Blues,6.223405459387483,3004,The_Moody_Blues.txt
The_Mothers_of_Invention,6.313035714285714,1512,The_Mothers_of_Invention.txt
The_Offspring,6.205062656641603,3192,The_Offspring.txt
The_Outfield,6.300760959470637,1209,The_Outfield.txt
The_Police,6.2286826555439685,2877,The_Police.txt
The_Pretenders,6.206942675159236,1099,The_Pretenders.txt
The_Pretty_Reckless,6.0926173096976015,3836,The_Pretty_Reckless.txt
The_Rolling_Stones,6.216257297526802,9421,The_Rolling_Stones.txt
The_Script,6.35866587957497,1694,The_Script.txt
The_Smashing_Pumpkins,6.232640730276026,4601,The_Smashing_Pumpkins.txt
The_Smiths,6.147508796622097,2842,The_Smiths.txt
The_Stone_Roses,6.4037101984310105,2167,The_Stone_Roses.txt
The_Strokes,6.35697247706422,2507,The_Strokes.txt
The_Sweet,6.344225888324873,2364,The_Sweet.txt
The_Tragically_Hip,6.217171540811873,2291,The_Tragically_Hip.txt
The_Used,6.228781752203214,1929,The_Used.txt
The_Velvet_Underground,6.324908356632494,3219,The_Velvet_Underground.txt
The_Verve,6.339749216300941,1595,The_Verve.txt
The_White_Stripes,6.316988242387699,6634,The_White_Stripes.txt
The_Who,6.269193385082687,5926,The_Who.txt
The_Yardbirds,6.290727048675293,1623,The_Yardbirds.txt
The_Zombies,6.140668006027122,1991,The_Zombies.txt
Theory_of_a_Deadman,6.343954678362573,1368,Theory_of_a_Deadman.txt
Thin_Lizzy,6.133339382940108,2755,Thin_Lizzy.txt
Third_Eye_Blind,5.876637770897833,3230,Third_Eye_Blind.txt
Thirty_Seconds_to_Mars,6.271076028250935,2407,Thirty_Seconds_to_Mars.txt
Thousand_Foot_Krutch,6.41294863665187,1577,Thousand_Foot_Krutch.txt
Three_Days_Grace,6.3686696466581525,4698,Three_Days_Grace.txt
Three_Dog_Night,6.367421524663677,1338,Three_Dog_Night.txt
Tom_Petty,6.251679805942996,3298,Tom_Petty.txt
Tom_Petty_and_the_Heartbreakers,6.215427631578948,1520,Tom_Petty_and_the_Heartbreakers.txt
Tommy_James_and_the_Shondells,6.253627019089574,681,Tommy_James_and_the_Shondells.txt
Tracy_Chapman,6.5451978021978015,1820,Tracy_Chapman.txt
Traveling_Wilburys,6.426585100598152,1839,Traveling_Wilburys.txt
Twenty_One_Pilots,6.34736643437863,6888,Twenty_One_Pilots.txt
Twisted_Sister,6.192573309395572,1671,Twisted_Sister.txt
U2,6.300433329852773,9577,U2.txt
UB40,6.324351145038169,2227,UB40.txt
Vampire_Weekend,6.554599751140606,2411,Vampire_Weekend.txt
Van_Halen,6.243232514177693,3703,Van_Halen.txt
Van_Morrison,6.3060772706028985,6419,Van_Morrison.txt
Velvet_Revolver,6.280446043165467,2085,Velvet_Revolver.txt
Volbeat,6.233675675675676,1480,Volbeat.txt
Weezer,6.3058902008894355,6521,Weezer.txt
Whitesnake,6.185214175124719,5813,Whitesnake.txt
X_Ambassadors,6.372435530085961,1396,X_Ambassadors.txt
ZZ_Top,6.326893164142448,2443,ZZ_Top.txt
